Timestamp,Meet_Recruiter,Age_Joined,Year_Joined,Years_Service,Education_Level,Parents_Ed_Level,Financial_Status,Enlisted_Officer,Join_Motivation,Ethnicity,Gender,,,,
11/1/2019 11:27:29,I got up with them,18-20,2000,Currently Serving,Some College,4 year degree,Upper Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 12:02:00,I got up with them,18-20,2000,6 to 8 years,Completed High School,Master's degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 13:47:09,I got up with them,18-20,2000,Currently Serving,Completed High School,Completed High School,Lower Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 13:58:10,I got up with them,18-20,2000,Less than 6,Completed High School,Did not complete high school / GED,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 14:53:52,I got up with them,18-20,2000,Less than 6,Completed High School,Completed High School,Upper Middle Class,Enlisted,Family Tradition,Caucasian,Female,,,,
11/1/2019 14:55:22,I got up with them,21-23,2000,6 to 8 years,4 Year Degree,Some college,Upper Middle Class,Officer,Patriotism,Caucasian,Male,,,,
11/1/2019 15:04:45,I got up with them,18-20,2000,6 to 8 years,Some College,Some college,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 16:20:55,I got up with them,18-20,2000,Currently Serving,Some College,2 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 16:35:32,I got up with them,18-20,2000,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 8:26:31,Someone else put us in contact,18-20,2000,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:40:55,Someone else put us in contact,18-20,2000,12 to 14 years,Completed High School,2 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:03:46,Someone else put us in contact,18-20,2000,9 to 11 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:33:11,Someone else put us in contact,18-20,2000,Currently Serving,Some College,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 9:45:58,Someone else put us in contact,24-26,2000,9 to 11 years,Some College,Master's degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:46:50,Someone else put us in contact,18-20,2000,9 to 11 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 9:00:52,They got up with me,21-23,2000,Currently Serving,Some College,4 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:10:13,They got up with me,18-20,2000,Currently Serving,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 9:11:51,They got up with me,18-20,2000,6 to 8 years,Completed High School,Did not complete high school / GED,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:13:14,They got up with me,18-20,2000,Currently Serving,Completed High School,2 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:30:50,They got up with me,18-20,2000,18 to 20 years,Some College,2 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:11:54,They got up with me,18-20,2000,9 to 11 years,Completed High School,2 year degree,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 10:39:12,They got up with me,18-20,2000,9 to 11 years,Completed High School,2 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:58:02,They got up with me,18-20,2000,6 to 8 years,Completed High School,Did not complete high school / GED,Lower Middle Class,Enlisted,Economic Opportunity,Hispanic / Latino,Female,,,,
11/1/2019 11:00:41,They got up with me,18-20,2000,12 to 14 years,Some College,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Black,Male,,,,
11/1/2019 13:59:12,They got up with me,18-20,2000,18 to 20 years,Completed High School,2 year degree,Lower Class (Bottom 20%),Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 16:35:50,They got up with me,18-20,2000,Currently Serving,Some College,Master's degree,Middle Class,Officer,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:02:03,,18-20,2000,9 to 11 years,Completed High School,4 year degree,Upper Class (Top 20%),Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:03:40,,18-20,2000,9 to 11 years,Completed High School,4 year degree,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 8:06:21,,18-20,2000,6 to 8 years,Completed High School,Did not complete high school / GED,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:01:53,Coincidental encounter,18-20,2001,6 to 8 years,2 Year Degree,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:21:24,Coincidental encounter,18-20,2001,Less than 6,Completed High School,Completed High School,Upper Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 11:35:22,Coincidental encounter,18-20,2001,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 14:40:01,Coincidental encounter,18-20,2001,6 to 8 years,Completed High School,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 15:03:38,Coincidental encounter,18-20,2001,Currently Serving,Completed High School,Did not complete high school / GED,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 16:14:29,Coincidental encounter,18-20,2001,Currently Serving,Some College,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 8:19:09,I got up with them,21-23,2001,9 to 11 years,Some College,4 year degree,Upper Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:38:55,I got up with them,18-20,2001,6 to 8 years,Completed High School,2 year degree,Lower Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 8:41:18,I got up with them,18-20,2001,6 to 8 years,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:01:44,I got up with them,18-20,2001,Currently Serving,Completed High School,2 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:04:30,I got up with them,18-20,2001,9 to 11 years,Did not graduate high school / GED,Master's degree,Middle Class,Enlisted,Economic Opportunity,Prefer not to answer,Male,,,,
11/1/2019 9:15:19,I got up with them,18-20,2001,Less than 6,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:55:40,I got up with them,18-20,2001,6 to 8 years,Some College,Did not complete high school / GED,Lower Middle Class,Enlisted,Prefer not to answer / Other,Hispanic / Latino,Male,,,,
11/1/2019 10:04:11,I got up with them,18-20,2001,6 to 8 years,Completed High School,Some college,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:11:09,I got up with them,18-20,2001,9 to 11 years,Completed High School,Completed High School,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 10:34:42,I got up with them,21-23,2001,6 to 8 years,Some College,Doctorate,Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 11:36:46,I got up with them,18-20,2001,Currently Serving,Completed High School,4 year degree,Prefer not to answer,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 13:05:59,I got up with them,18-20,2001,Currently Serving,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 15:52:29,I got up with them,21-23,2001,Currently Serving,Some College,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 16:22:27,I got up with them,18-20,2001,18 to 20 years,Some College,Completed High School,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 16:32:41,I got up with them,21-23,2001,Currently Serving,Some College,Some college,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:55:37,Someone else put us in contact,18-20,2001,6 to 8 years,Completed High School,2 year degree,Upper Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 11:21:10,Someone else put us in contact,18-20,2001,12 to 14 years,Completed High School,Some college,Lower Class (Bottom 20%),Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 12:06:39,Someone else put us in contact,,2001,18 to 20 years,Some College,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:29:16,They got up with me,18-20,2001,6 to 8 years,Completed High School,Some college,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:44:41,They got up with me,18-20,2001,6 to 8 years,Completed High School,Some college,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 9:53:30,They got up with me,18-20,2001,6 to 8 years,Completed High School,4 year degree,Middle Class,Enlisted,Patriotism,Caucasian,Female,,,,
11/1/2019 10:33:42,They got up with me,18-20,2001,6 to 8 years,Completed High School,4 year degree,Upper Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 13:21:48,They got up with me,18-20,2001,Less than 6,Some College,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:04:02,,21-23,2001,6 to 8 years,Some College,Master's degree,Middle Class,Enlisted,Had no good plans for life,Caucasian,Male,,,,
11/1/2019 8:05:53,,18-20,2001,9 to 11 years,Completed High School,Some college,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:09:39,,21-23,2001,Currently Serving,Some College,Did not complete high school / GED,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:12:10,,18-20,2001,6 to 8 years,Some College,Some college,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:16:10,,18-20,2001,6 to 8 years,Some College,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:53:13,Coincidental encounter,18-20,2002,Currently Serving,Completed High School,Some college,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 13:53:00,Coincidental encounter,18-20,2002,Currently Serving,Completed High School,2 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:09:58,I don't remember / Prefer not to answer,18-20,2002,Currently Serving,Completed High School,4 year degree,Lower Middle Class,Enlisted,Economic Opportunity,American Indian or Alaskan Native,Male,,,,
11/1/2019 8:31:45,I got up with them,27+,2002,6 to 8 years,Some College,4 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:38:33,I got up with them,18-20,2002,12 to 14 years,Completed High School,Some college,Lower Class (Bottom 20%),Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:43:01,I got up with them,21-23,2002,6 to 8 years,Some College,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 9:51:11,I got up with them,18-20,2002,9 to 11 years,Completed High School,2 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:02:42,I got up with them,18-20,2002,9 to 11 years,Completed High School,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:14:11,I got up with them,21-23,2002,9 to 11 years,Some College,4 year degree,Lower Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 10:37:19,I got up with them,24-26,2002,9 to 11 years,Some College,4 year degree,Lower Class (Bottom 20%),Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 11:08:26,I got up with them,18-20,2002,Less than 6,Some College,4 year degree,Middle Class,Enlisted,Family Tradition,Caucasian,Female,,,,
11/1/2019 11:33:36,I got up with them,21-23,2002,9 to 11 years,Some College,Completed High School,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 11:40:16,I got up with them,21-23,2002,6 to 8 years,4 Year Degree,2 year degree,Lower Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 13:13:07,I got up with them,21-23,2002,6 to 8 years,Some College,Some college,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 13:44:47,I got up with them,21-23,2002,Less than 6,Some College,Master's degree,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 13:44:58,I got up with them,21-23,2002,Less than 6,Some College,4 year degree,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 14:10:03,I got up with them,18-20,2002,12 to 14 years,Completed High School,Some college,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 14:44:07,I got up with them,21-23,2002,6 to 8 years,Some College,4 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 15:07:17,I got up with them,21-23,2002,9 to 11 years,Some College,Master's degree,Upper Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 16:05:01,I got up with them,24-26,2002,Less than 6,Some College,Completed High School,Lower Middle Class,Enlisted,Patriotism,Caucasian,Female,,,,
11/1/2019 8:44:22,Someone else put us in contact,18-20,2002,9 to 11 years,Completed High School,4 year degree,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 9:17:19,Someone else put us in contact,18-20,2002,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:44:31,Someone else put us in contact,18-20,2002,15 to 17 years,Some College,4 year degree,Upper Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 15:15:10,Someone else put us in contact,18-20,2002,9 to 11 years,Completed High School,Completed High School,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 8:30:05,They got up with me,18-20,2002,9 to 11 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:41:08,They got up with me,18-20,2002,Currently Serving,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:37:12,They got up with me,18-20,2002,Currently Serving,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 11:29:10,They got up with me,18-20,2002,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 13:50:20,They got up with me,18-20,2002,Currently Serving,Completed High School,4 year degree,Lower Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 15:04:10,They got up with me,18-20,2002,Currently Serving,Completed High School,Some college,Lower Middle Class,Enlisted,Economic Opportunity,Asian,Male,,,,
11/1/2019 16:02:08,They got up with me,18-20,2002,6 to 8 years,Completed High School,Some college,Lower Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 16:34:06,They got up with me,18-20,2002,Less than 6,Completed High School,Completed High School,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 16:56:52,They got up with me,21-23,2002,6 to 8 years,Some College,4 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:03:00,,18-20,2002,6 to 8 years,Completed High School,4 year degree,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:04:05,,18-20,2002,6 to 8 years,Completed High School,Did not complete high school / GED,Lower Class (Bottom 20%),Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:06:14,,18-20,2002,6 to 8 years,Completed High School,Did not complete high school / GED,Lower Middle Class,Enlisted,9/11/2001,Caucasian,Male,,,,
11/1/2019 8:08:37,,21-23,2002,6 to 8 years,Some College,Some college,Middle Class,Enlisted,Education ,Caucasian,Male,,,,
11/1/2019 11:07:26,Coincidental encounter,18-20,2003,Currently Serving,Some College,2 year degree,Lower Middle Class,Enlisted,Economic Opportunity,American Indian or Alaskan Native,Male,,,,
11/1/2019 11:16:47,Coincidental encounter,24-26,2003,6 to 8 years,Some College,4 year degree,Lower Class (Bottom 20%),Enlisted,Prefer not to answer / Other,Asian,Male,,,,
11/1/2019 12:17:53,Coincidental encounter,21-23,2003,Currently Serving,Completed High School,Some college,Middle Class,Enlisted,Economic Opportunity,Hispanic / Latino,Male,,,,
11/1/2019 13:13:02,Coincidental encounter,18-20,2003,Currently Serving,Some College,Master's degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:29:50,I got up with them,18-20,2003,Currently Serving,Completed High School,Completed High School,Lower Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 8:30:17,I got up with them,18-20,2003,Currently Serving,Some College,Master's degree,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:33:23,I got up with them,21-23,2003,Currently Serving,Some College,Doctorate,Upper Middle Class,Enlisted,Economic Opportunity,Black,Male,,,,
11/1/2019 8:33:27,I got up with them,18-20,2003,6 to 8 years,Completed High School,Some college,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:37:12,I got up with them,21-23,2003,6 to 8 years,Some College,Master's degree,Middle Class,Enlisted,Family Tradition,Caucasian,Male,,,,
11/1/2019 8:38:26,I got up with them,21-23,2003,6 to 8 years,2 Year Degree,Some college,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:45:42,I got up with them,21-23,2003,Less than 6,Some College,4 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Asian,Female,,,,
11/1/2019 8:46:46,I got up with them,18-20,2003,12 to 14 years,Completed High School,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:51:52,I got up with them,18-20,2003,Less than 6,Some College,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:11:59,I got up with them,21-23,2003,12 to 14 years,4 Year Degree,Master's degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 9:21:35,I got up with them,24-26,2003,9 to 11 years,4 Year Degree,2 year degree,Upper Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:23:34,I got up with them,21-23,2003,12 to 14 years,Some College,2 year degree,Middle Class,Enlisted,Family Tradition,Native Hawaiian or Pacific Islander,Female,,,,
11/1/2019 9:48:22,I got up with them,18-20,2003,9 to 11 years,Completed High School,Some college,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 10:07:01,I got up with them,18-20,2003,Less than 6,Completed High School,Some college,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:17:42,I got up with them,18-20,2003,6 to 8 years,Some College,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:34:08,I got up with them,18-20,2003,9 to 11 years,Completed High School,Completed High School,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 10:50:51,I got up with them,18-20,2003,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 11:01:27,I got up with them,18-20,2003,Currently Serving,Some College,2 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Prefer not to answer,Female,,,,
11/1/2019 11:09:32,I got up with them,21-23,2003,6 to 8 years,Some College,Some college,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 11:11:04,I got up with them,18-20,2003,Currently Serving,Completed High School,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 12:04:06,I got up with them,18-20,2003,9 to 11 years,Some College,Completed High School,Middle Class,Enlisted,Economic Opportunity,Black,Male,,,,
11/1/2019 12:10:33,I got up with them,21-23,2003,9 to 11 years,Some College,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 12:25:20,I got up with them,18-20,2003,Less than 6,Completed High School,Some college,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 14:12:04,I got up with them,18-20,2003,6 to 8 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 14:21:13,I got up with them,18-20,2003,Currently Serving,Completed High School,4 year degree,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 15:27:05,I got up with them,18-20,2003,6 to 8 years,Completed High School,Master's degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 15:44:25,I got up with them,18-20,2003,Less than 6,Completed High School,Some college,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Other,,,,
11/1/2019 15:44:42,I got up with them,24-26,2003,6 to 8 years,Some College,Master's degree,Middle Class,Enlisted,Economic Opportunity,Hispanic / Latino,Male,,,,
11/1/2019 16:03:30,I got up with them,21-23,2003,9 to 11 years,2 Year Degree,Completed High School,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:29:23,Someone else put us in contact,18-20,2003,6 to 8 years,Completed High School,Some college,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:52:42,Someone else put us in contact,18-20,2003,Currently Serving,Some College,Master's degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 14:00:05,Someone else put us in contact,18-20,2003,9 to 11 years,Some College,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:34:13,They got up with me,18-20,2003,6 to 8 years,Completed High School,Some college,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 10:26:30,They got up with me,18-20,2003,9 to 11 years,Some College,Some college,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 10:57:42,They got up with me,18-20,2003,9 to 11 years,Completed High School,Completed High School,Lower Middle Class,Enlisted,Economic Opportunity,Black,Female,,,,
11/1/2019 11:47:21,They got up with me,21-23,2003,9 to 11 years,Some College,4 year degree,Upper Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 15:11:24,They got up with me,18-20,2003,9 to 11 years,Completed High School,Completed High School,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 7:58:17,,18-20,2003,6 to 8 years,Completed High School,4 year degree,Upper Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:05:21,,21-23,2003,Currently Serving,2 Year Degree,4 year degree,Middle Class,Enlisted,,Caucasian,Male,,,,
11/1/2019 8:12:02,,18-20,2003,6 to 8 years,Completed High School,Some college,Lower Class (Bottom 20%),Enlisted,Prefer not to answer / Other,Caucasian,Female,,,,
11/1/2019 8:12:50,,18-20,2003,Currently Serving,2 Year Degree,Completed High School,Upper Middle Class,Enlisted,Economic Opportunity,Hispanic / Latino,Male,,,,
11/1/2019 8:13:21,,18-20,2003,6 to 8 years,2 Year Degree,Some college,Lower Middle Class,Officer,Family Tradition,Prefer not to answer,Male,,,,
11/1/2019 8:15:48,,21-23,2003,Currently Serving,Some College,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:15:51,,27+,2003,12 to 14 years,Master's Degree,Master's degree,Lower Middle Class,Officer,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:17:11,,21-23,2003,6 to 8 years,Some College,Some college,Middle Class,Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:17:11,,18-20,2003,6 to 8 years,Completed High School,2 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 11:13:54,I don't remember / Prefer not to answer,18-20,2004,6 to 8 years,Completed High School,Master's degree,Upper Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 8:18:56,I got up with them,18-20,2004,9 to 11 years,2 Year Degree,Completed High School,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:23:44,I got up with them,18-20,2004,12 to 14 years,Some College,4 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:26:47,I got up with them,18-20,2004,9 to 11 years,Completed High School,Some college,Lower Middle Class,Enlisted,Patriotism,American Indian or Alaskan Native,Male,,,,
11/1/2019 8:32:33,I got up with them,18-20,2004,9 to 11 years,Completed High School,2 year degree,Lower Class (Bottom 20%),Enlisted,Patriotism,Caucasian,Male,,,,
11/1/2019 8:32:52,I got up with them,18-20,2004,9 to 11 years,Completed High School,Some college,Lower Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:37:31,I got up with them,18-20,2004,Less than 6,Completed High School,4 year degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 8:54:57,I got up with them,18-20,2004,9 to 11 years,2 Year Degree,Completed High School,Lower Middle Class,Enlisted,Prefer not to answer / Other,Prefer not to answer,Male,,,,
11/1/2019 9:06:53,I got up with them,21-23,2004,12 to 14 years,4 Year Degree,Master's degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:12:31,I got up with them,21-23,2004,Currently Serving,Some College,Completed High School,Lower Class (Bottom 20%),Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 9:16:59,I got up with them,21-23,2004,6 to 8 years,2 Year Degree,Did not complete high school / GED,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 9:38:45,I got up with them,18-20,2004,12 to 14 years,Some College,Master's degree,Middle Class,Enlisted,Prefer not to answer / Other,Caucasian,Male,,,,
11/1/2019 9:45:01,I got up with them,24-26,2004,9 to 11 years,Some College,Completed High School,Lower Class (Bottom 20%),Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 9:57:00,I got up with them,18-20,2004,12 to 14 years,Completed High School,Some college,Middle Class,Enlisted,Patriotism,American Indian or Alaskan Native,Male,,,,
11/1/2019 9:58:17,I got up with them,18-20,2004,6 to 8 years,Completed High School,4 year degree,Upper Middle Class,Enlisted,Prefer not to answer / Other,Hispanic / Latino,Male,,,,
11/1/2019 10:07:38,I got up with them,18-20,2004,9 to 11 years,Some College,2 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:10:04,I got up with them,18-20,2004,9 to 11 years,Completed High School,4 year degree,Lower Middle Class,Enlisted,Economic Opportunity,Caucasian,Female,,,,
11/1/2019 10:13:43,I got up with them,18-20,2004,6 to 8 years,Completed High School,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
11/1/2019 10:25:39,I got up with them,21-23,2004,Less than 6,Some College,4 year degree,Middle Class,Enlisted,Economic Opportunity,Caucasian,Male,,,,
